description,"Carbohydrate, by difference",Energy (kcal),Protein,Total lipid (fat)
"Cheese, cheddar",2.32,388.57,22.19,32.38
"Milk, human",2.8,28.46,0.42,1.78
"Milk, NFS",1.98,21.31,1.36,0.88
"Milk, whole",1.9,25.0,1.34,1.31
"Milk, reduced fat (2%)",2.01,20.49,1.38,0.78
"Milk, low fat (1%)",2.12,17.62,1.39,0.39
"Milk, fat free (skim)",2.02,13.93,1.41,0.03
"Milk, lactose free, low fat (1%)",2.12,17.62,1.39,0.39
"Milk, lactose free, fat free (skim)",2.02,13.93,1.41,0.03
"Milk, lactose free, reduced fat (2%)",2.01,20.49,1.38,0.78
"Milk, lactose free, whole",1.9,25.0,1.34,1.31
"Buttermilk, fat free (skim)",1.96,16.39,1.36,0.44
"Buttermilk, whole",2.0,25.41,1.32,1.36
"Kefir, NS as to fat content",3.07,21.31,1.47,0.39
"Goat's milk, whole",1.82,28.28,1.46,1.7
"Milk, dry, reconstituted, NS as to fat content",1.89,13.11,1.31,0.03
"Milk, dry, reconstituted, whole",2.4,31.15,1.64,1.67
"Milk, dry, reconstituted, low fat (1%)",1.86,16.39,1.3,0.41
"Milk, dry, reconstituted, fat free (skim)",1.89,13.11,1.31,0.03
"Milk, evaporated, NS as to fat content",3.98,53.17,2.7,3.0
"Milk, evaporated, whole",3.98,53.17,2.7,3.0
"Milk, evaporated, reduced fat (2%)",4.42,36.51,2.94,0.78
"Milk, evaporated, fat free (skim)",4.5,30.95,3.0,0.08
"Milk, condensed, sweetened",17.89,105.59,2.6,2.86
"Non-dairy milk, NFS",1.29,11.89,0.47,0.55
Soy milk,2.14,21.72,1.4,0.84
"Soy milk, light",0.53,15.57,1.45,0.87
"Soy milk, nonfat",0.53,15.57,1.45,0.87
"Soy milk, chocolate",3.41,26.23,1.37,0.83
"Soy milk, light, chocolate",0.6,15.98,1.48,0.88
"Almond milk, sweetened",1.77,12.3,0.22,0.48
"Almond milk, sweetened, chocolate",3.05,17.62,0.23,0.49
"Almond milk, unsweetened",0.14,6.15,0.23,0.5
"Almond milk, unsweetened, chocolate",0.21,6.56,0.25,0.52
Rice milk,3.76,19.26,0.11,0.4
Coconut milk,1.2,12.7,0.09,0.85
"Yogurt, NFS",6.23,55.75,4.65,1.37
"Yogurt, Greek, NS as to type of milk or flavor",2.63,48.67,6.63,1.28
"Yogurt, NS as to type of milk or flavor",6.23,55.75,4.65,1.37
"Yogurt, NS as to type of milk, plain",6.23,55.75,4.65,1.37
"Yogurt, whole milk, plain",4.12,53.98,3.07,2.88
"Yogurt, low fat milk, plain",6.23,55.75,4.65,1.37
"Yogurt, nonfat milk, plain",6.8,49.56,5.07,0.16
"Yogurt, Greek, NS as to type of milk, plain",2.63,48.67,6.63,1.28
"Yogurt, Greek, whole milk, plain",2.65,64.67,6.0,3.33
"Yogurt, Greek, low fat milk, plain",2.63,48.67,6.63,1.28
"Yogurt, Greek, nonfat milk, plain",2.43,39.33,6.87,0.25
"Yogurt, NS as to type of milk, fruit",12.8,78.76,4.12,1.21
"Yogurt, whole milk, fruit",10.94,76.99,2.74,2.54
"Yogurt, low fat milk, fruit",22.59,139.06,7.28,2.14
"Yogurt, nonfat milk, fruit",13.29,73.45,4.5,0.15
"Yogurt, Greek, NS as to type of milk, fruit",8.19,70.0,5.45,1.71
"Yogurt, Greek, whole milk, fruit",8.19,70.67,4.89,2.0
"Yogurt, Greek, low fat milk, fruit",21.56,184.21,14.33,4.51
"Yogurt, Greek, nonfat milk, fruit",8.13,54.67,5.37,0.1
"Yogurt, NS as to type of milk, flavors other than fruit",8.69,64.6,4.5,1.34
"Yogurt, whole milk, flavors other than fruit",8.33,69.03,2.92,2.74
"Yogurt, low fat milk, flavors other than fruit",15.34,114.06,7.95,2.36
"Yogurt, nonfat milk, flavors other than fruit",9.24,58.41,4.92,0.16
"Yogurt, Greek, NS as to type of milk, flavors other than fruit",6.36,63.33,5.76,1.67
"Yogurt, Greek, whole milk, flavors other than fruit",6.23,74.0,5.65,2.96
"Yogurt, Greek, low fat milk, flavors other than fruit",16.74,166.67,15.16,4.39
"Yogurt, Greek, nonfat milk, flavors other than fruit",6.91,52.0,5.76,0.12
"Yogurt, Greek, with oats",14.07,106.67,5.92,3.07
"Yogurt, liquid",12.7,77.42,3.99,1.17
"Chipotle dip, yogurt based",22.2,1260.0,52.87,106.6
"Onion dip, yogurt based",27.07,1066.67,45.47,86.07
"Ranch dip, yogurt based",27.53,1300.0,56.53,107.27
"Spinach dip, yogurt based",23.93,1060.0,46.8,86.4
Tzatziki dip,26.13,620.0,35.67,42.07
"Vegetable dip, yogurt based",25.07,1273.33,54.4,106.87
"Yogurt parfait, low fat, with fruit",10.57,56.0,2.24,0.67
"Frozen yogurt, NFS",12.34,72.57,1.71,2.06
"Frozen yogurt, vanilla",12.34,72.57,1.71,2.06
"Frozen yogurt, chocolate",12.34,74.86,1.71,2.06
"Frozen yogurt, soft serve, vanilla",13.83,90.86,2.29,3.2
"Frozen yogurt, soft serve, chocolate",14.21,91.43,2.46,3.29
Frozen yogurt sandwich,45.84,272.0,5.2,8.33
"Frozen yogurt bar, vanilla",33.23,195.38,4.62,5.54
"Frozen yogurt bar, chocolate",33.23,201.54,4.62,5.54
"Frozen yogurt cone, chocolate",19.12,113.6,2.56,2.98
"Frozen yogurt cone, vanilla",19.12,111.2,2.56,2.98
"Frozen yogurt cone, vanilla, waffle cone",9.91,56.08,1.29,1.42
"Frozen yogurt cone, chocolate, waffle cone",9.91,57.65,1.29,1.42
"Baby Toddler food, NFS",60.53,500.0,32.67,14.33
"Baby Toddler yogurt, plain",31.07,406.67,23.13,21.67
"Baby Toddler yogurt, with fruit",73.87,553.33,21.07,19.53
"Chocolate milk, NFS",5.43,27.02,1.37,0.0
"Chocolate milk, ready to drink, whole",4.17,33.47,1.28,1.37
"Chocolate milk, ready to drink, reduced fat",4.89,30.65,1.21,0.77
"Chocolate milk, ready to drink, fat free",5.43,27.02,1.37,0.0
"Chocolate milk, ready to drink, low fat",32.74,206.45,11.16,3.58
"Chocolate milk, ready to drink, reduced sugar, NS as to milk",3.1,22.98,1.38,0.42
"Chocolate milk, ready to drink, low fat (Nesquik)",4.09,25.81,1.4,0.45
"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",4.09,25.81,1.4,0.45
"Hot chocolate / Cocoa, ready to drink",6.67,36.69,1.1,0.62
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",6.67,31.45,1.12,0.02
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",6.57,32.26,0.51,0.44
"Hot chocolate / Cocoa, ready to drink, with whipped cream",6.4,41.53,1.1,1.28
"Chocolate milk, made from dry mix with whole milk",3.99,33.06,1.35,1.27
"Chocolate milk, made from dry mix with reduced fat milk",4.09,29.03,1.38,0.77
"Chocolate milk, made from dry mix with fat free milk",4.1,22.98,1.41,0.09
"Chocolate milk, made from dry mix with non-dairy milk",3.99,23.79,0.71,0.56
"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",4.07,29.84,1.38,0.87
"Chocolate milk, made from dry mix with whole milk (Nesquik)",3.99,33.06,1.35,1.27
"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",4.09,29.03,1.38,0.77
"Chocolate milk, made from dry mix with low fat milk (Nesquik)",4.2,26.21,1.39,0.42
"Chocolate milk, made from dry mix with fat free milk (Nesquik)",4.1,22.98,1.41,0.09
"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",3.99,23.79,0.71,0.56
"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",3.08,25.4,1.46,0.81
